resultId,raceId,driverId,constructorId,number,grid,positionOrder,points,laps,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
1,18,1,1,22,1,1,10,58,5690616,39,2,01:27.5,218.3,1
2,18,2,2,3,5,2,8,58,5696094,41,3,01:27.7,217.586,1
3,18,3,3,7,7,3,6,58,5698779,41,5,01:28.1,216.719,1
4,18,4,4,5,11,4,5,58,5707797,58,7,01:28.6,215.464,1
5,18,5,1,23,3,5,4,58,5708630,43,1,01:27.4,218.385,1
23,19,8,6,1,2,1,10,56,5478555,37,2,01:35.4,209.158,1
24,19,9,2,4,4,2,8,56,5498125,39,6,01:35.9,208.033,1
25,19,5,1,23,8,3,6,56,5517005,19,7,01:35.9,208.031,1
26,19,15,7,11,3,4,5,56,5524387,53,8,01:36.1,207.715,1
27,19,1,1,22,9,5,4,56,5525103,53,3,01:35.5,209.033,1
28,19,2,2,3,5,6,3,56,5528388,55,1,01:35.4,209.244,1
29,19,17,9,10,6,7,2,56,5546685,53,12,01:36.7,206.366,1
30,19,4,4,5,7,8,1,56,5548596,40,10,01:36.3,207.24,1
31,19,14,9,9,12,9,0,56,5554775,55,9,01:36.2,207.417,1
32,19,18,11,16,11,10,0,56,5564769,56,4,01:35.7,208.481,1
33,19,12,4,6,13,11,0,56,5570757,52,15,01:37.0,205.812,1
45,20,13,6,2,2,1,10,57,5466970,38,3,01:33.6,208.153,1
46,20,8,6,1,4,2,8,57,5470309,35,4,01:33.7,207.911,1
47,20,9,2,4,1,3,6,57,5471968,55,5,01:33.8,207.765,1
48,20,2,2,3,6,4,5,57,5475379,48,2,01:33.6,208.231,1
49,20,5,1,23,5,5,4,57,5493759,49,1,01:33.2,209.062,1
50,20,15,7,11,7,6,3,57,5508284,45,7,01:34.2,206.819,1
51,20,17,9,10,11,7,2,57,5512443,51,8,01:34.3,206.597,1
52,20,3,3,7,8,8,1,57,5522859,57,6,01:34.1,207.109,1
53,20,10,7,12,13,9,0,57,5536470,56,9,01:34.8,205.503,1
54,20,4,4,5,10,10,0,57,5544151,35,13,01:35.2,204.668,1
55,20,22,11,17,12,11,0,57,5544832,40,10,01:34.9,205.399,1
67,21,8,6,1,1,1,10,66,5899051,46,1,01:21.7,205.191,1
68,21,13,6,2,3,2,8,66,5902279,45,2,01:21.8,204.863,1
69,21,1,1,22,5,3,6,66,5903238,20,3,01:22.0,204.323,1
70,21,9,2,4,4,4,5,66,5904745,20,4,01:22.1,204.102,1
71,21,17,9,10,7,5,4,66,5934989,19,8,01:22.6,202.969,1
72,21,18,11,16,13,6,3,66,5952061,66,5,01:22.4,203.489,1
73,21,6,3,8,12,7,2,66,5957295,48,15,01:23.5,200.576,1
74,21,15,7,11,8,8,1,66,5958486,45,10,01:22.8,202.494,1
75,21,2,2,3,9,9,0,66,5962124,21,7,01:22.5,203.08,1
89,22,13,6,2,1,1,10,58,5209451,16,3,01:26.7,221.734,1
90,22,1,1,22,3,2,8,58,5213230,31,2,01:26.5,222.085,1
91,22,8,6,1,4,3,6,58,5213722,20,1,01:26.5,222.144,1
92,22,9,2,4,5,4,5,58,5231396,17,4,01:26.8,221.442,1
93,22,2,2,3,9,5,4,58,5248192,20,5,01:27.2,220.328,1
94,22,4,4,5,7,6,3,58,5263175,57,6,01:27.3,220.174,1
95,22,17,9,10,6,7,2,58,5273680,14,7,01:27.6,219.294,1
96,22,3,3,7,11,8,1,58,5280857,55,9,01:27.8,218.882,1
97,22,14,9,9,10,9,0,58,5284721,41,12,01:28.0,218.457,1
98,22,15,7,11,8,10,0,58,5285795,52,11,01:27.9,218.556,1
109,23,1,1,22,3,1,10,76,7242742,71,6,01:18.5,153.152,1
110,23,9,2,4,5,2,8,76,7245806,75,5,01:17.9,154.286,1
111,23,13,6,2,1,3,6,76,7247553,76,4,01:17.9,154.379,1
112,23,17,9,10,9,4,5,76,7262037,74,8,01:19.0,152.133,1
113,23,20,5,15,19,5,4,76,7267399,74,7,01:18.8,152.614,1
114,23,22,11,17,14,6,3,76,7271150,75,9,01:19.6,151.104,1
115,23,6,3,8,13,7,2,76,7272922,75,13,01:19.9,150.469,1
116,23,5,1,23,4,8,1,76,7275933,74,2,01:17.3,155.586,1
117,23,8,6,1,2,9,0,76,7276534,74,1,01:16.7,156.789,1
129,24,9,2,4,2,1,10,70,5784227,47,4,01:17.5,202.473,1
130,24,2,2,3,8,2,8,70,5800722,25,2,01:17.4,202.758,1
131,24,14,9,9,13,3,6,70,5807579,36,7,01:18.1,201.057,1
132,24,10,7,12,11,4,5,70,5826854,31,17,01:19.1,198.51,1
133,24,13,6,2,6,5,4,70,5828161,11,6,01:18.0,201.261,1
134,24,15,7,11,14,6,3,70,5832002,38,15,01:18.9,199.056,1
135,24,22,11,17,9,7,2,70,5837824,35,10,01:18.3,200.503,1
136,24,20,5,15,19,8,1,70,5838347,33,12,01:18.5,199.913,1
137,24,5,1,23,7,9,0,70,5838660,62,11,01:18.5,200.091,1
138,24,3,3,7,5,10,0,70,5838976,14,5,01:18.0,201.336,1
139,24,18,11,16,20,11,0,70,5851767,58,19,01:19.4,197.847,1
140,24,17,9,10,10,12,0,70,5855526,51,8,01:18.2,200.759,1
