resultId,raceId,driverId,constructorId,number,grid,positionOrder,points,laps,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
149,25,13,6,2,2,1,10,70,5510245,20,2,01:16.7,206.956,1
150,25,8,6,1,1,2,8,70,5528229,16,1,01:16.6,207.224,1
151,25,15,7,11,4,3,6,70,5538495,12,7,01:17.6,204.721,1
152,25,5,1,23,10,4,5,70,5539174,46,3,01:17.1,205.87,1
153,25,9,2,4,5,5,4,70,5540757,16,4,01:17.2,205.768,1
154,25,17,9,10,6,6,3,70,5550549,22,6,01:17.5,204.879,1
155,25,12,4,6,9,7,2,70,5551278,24,10,01:17.8,204.218,1
156,25,4,4,5,3,8,1,70,5553617,39,8,01:17.6,204.525,1
157,25,14,9,9,7,9,0,70,5561266,23,12,01:17.8,204.06,1
158,25,1,1,22,13,10,0,70,5564783,40,5,01:17.5,205.022,1
159,25,10,7,12,8,11,0,70,5567945,45,13,01:17.8,204.013,1
160,25,20,5,15,12,12,0,70,5568310,36,11,01:17.8,204.212,1
161,25,2,2,3,11,13,0,70,5572324,46,9,01:17.7,204.328,1
169,26,1,1,22,4,1,10,60,5949440,16,3,01:32.8,199.398,1
170,26,2,2,3,5,2,8,60,6018017,21,2,01:32.7,199.609,1
171,26,22,11,17,16,3,6,60,6031713,21,11,01:33.4,198.183,1
189,27,1,1,22,1,1,10,67,5480874,17,2,01:16.0,216.552,1
190,27,12,4,6,17,2,8,67,5486460,66,9,01:16.9,214.099,1
191,27,13,6,2,2,3,6,67,5490213,19,5,01:16.5,215.241,1
192,27,2,2,3,12,4,5,67,5490699,52,1,01:16.0,216.7,1
193,27,5,1,23,3,5,4,67,5493285,63,4,01:16.5,215.261,1
194,27,8,6,1,6,6,3,67,5495277,66,3,01:16.3,215.692,1
195,27,9,2,4,7,7,2,67,5503556,17,6,01:16.6,214.937,1
196,27,20,5,15,9,8,1,67,5514173,20,8,01:16.8,214.484,1
197,27,15,7,11,4,9,0,67,5518032,17,12,01:17.0,213.785,1
198,27,3,3,7,13,10,0,67,5518499,34,15,01:17.4,212.799,1
199,27,4,4,5,5,11,0,67,5519474,17,13,01:17.1,213.53,1
200,27,7,5,14,15,12,0,67,5519985,63,10,01:17.0,213.935,1
201,27,14,9,9,10,13,0,67,5535845,18,11,01:17.0,213.866,1
202,27,6,3,8,16,14,0,67,5540877,23,17,01:17.7,211.947,1
203,27,16,10,20,19,15,0,67,5550362,66,18,01:17.9,211.408,1
204,27,21,10,21,20,16,0,67,5564967,67,20,01:18.2,210.546,1
209,28,5,1,23,2,1,10,70,5847067,19,7,01:21.8,192.917,1
210,28,10,7,12,5,2,8,70,5858128,42,6,01:21.7,193.111,1
211,28,8,6,1,6,3,6,70,5863923,61,1,01:21.2,194.243,1
212,28,4,4,5,7,4,5,70,5868681,47,8,01:21.8,192.823,1
213,28,1,1,22,1,5,4,70,5870115,15,3,01:21.5,193.533,1
214,28,12,4,6,10,6,3,70,5879365,64,4,01:21.5,193.428,1
215,28,15,7,11,9,7,2,70,5883516,65,5,01:21.6,193.189,1
216,28,9,2,4,4,8,1,70,5895388,70,9,01:21.9,192.475,1
217,28,17,9,10,8,9,0,70,5905901,67,10,01:22.1,192.043,1
218,28,2,2,3,15,10,0,70,5914776,67,11,01:22.2,191.908,1
219,28,14,9,9,13,11,0,70,5917474,67,16,01:22.7,190.634,1
229,29,13,6,2,1,1,10,57,5732339,36,1,01:38.7,197.637,1
230,29,1,1,22,2,2,8,57,5737950,16,2,01:38.9,197.285,1
231,29,9,2,4,3,3,6,57,5769692,38,4,01:39.3,196.399,1
232,29,5,1,23,5,4,5,57,5772042,19,3,01:39.1,196.831,1
233,29,15,7,11,7,5,4,57,5783023,37,12,01:39.7,195.755,1
234,29,20,5,15,6,6,3,57,5784964,36,6,01:39.5,196.093,1
235,29,10,7,12,13,7,2,57,5800329,54,8,01:39.5,195.995,1
236,29,3,3,7,9,8,1,57,5803796,35,10,01:39.6,195.912,1
237,29,2,2,3,8,9,0,57,5814516,57,7,01:39.5,196.013,1
238,29,7,5,14,10,10,0,57,5822133,35,11,01:39.6,195.79,1
239,29,12,4,6,15,11,0,57,5825056,29,9,01:39.5,195.977,1
249,30,13,6,2,2,1,10,44,4979394,26,3,01:48.2,232.987,1
250,30,2,2,3,5,2,8,44,4988777,36,7,01:49.1,231.182,1
251,30,1,1,22,1,3,6,44,4989933,20,2,01:48.1,233.175,1
252,30,4,4,5,6,4,5,44,4993872,25,9,01:49.2,230.82,1
253,30,20,5,15,10,5,4,44,4993970,16,8,01:49.1,231.142,1
254,30,9,2,4,8,6,3,44,4994431,36,5,01:49.0,231.399,1
255,30,7,5,14,9,7,2,44,4996129,31,6,01:49.0,231.32,1
256,30,17,9,10,7,8,1,44,5022170,34,10,01:49.5,230.236,1
257,30,10,7,12,13,9,0,44,5046439,37,12,01:50.3,228.691,1
269,31,20,5,15,1,1,10,53,5207494,53,14,01:30.5,230.414,1
270,31,5,1,23,2,2,8,53,5220006,53,13,01:30.3,230.95,1
271,31,9,2,4,11,3,6,53,5227965,52,12,01:30.3,230.955,1
272,31,4,4,5,8,4,5,53,5231397,51,9,01:30.0,231.82,1
273,31,2,2,3,10,5,4,53,5235242,53,6,01:29.8,232.217,1
274,31,13,6,2,6,6,3,53,5236310,52,4,01:29.7,232.505,1
275,31,1,1,22,15,7,2,53,5237406,52,5,01:29.7,232.44,1
276,31,17,9,10,3,8,1,53,5239542,52,3,01:29.7,232.544,1
277,31,8,6,1,14,9,0,53,5246962,53,1,01:28.0,236.859,1
278,31,12,4,6,17,10,0,53,5261939,53,16,01:30.9,229.38,1
279,31,10,7,12,9,11,0,53,5266382,53,8,01:29.9,231.853,1
280,31,6,3,8,18,12,0,53,5269509,53,11,01:30.2,231.167,1
281,31,15,7,11,7,13,0,53,5273448,52,15,01:30.9,229.544,1
282,31,3,3,7,5,14,0,53,5276129,53,10,01:30.0,231.671,1
283,31,18,11,16,19,15,0,53,5280864,52,7,01:29.8,232.166,1
289,32,4,4,5,15,1,10,61,7036304,55,3,01:45.8,172.464,1
290,32,3,3,7,8,2,8,61,7039261,39,5,01:46.5,171.352,1
291,32,1,1,22,2,3,6,61,7042221,14,4,01:46.1,171.969,1
292,32,10,7,12,7,4,5,61,7044459,50,8,01:47.0,170.408,1
293,32,20,5,15,6,5,4,61,7046572,13,9,01:47.3,170.047,1
294,32,2,2,3,9,6,3,61,7047405,14,11,01:47.3,169.992,1
295,32,14,9,9,14,7,2,61,7052691,41,13,01:47.6,169.587,1
296,32,6,3,8,10,8,1,61,7054793,13,10,01:47.3,170.022,1
297,32,18,11,16,12,9,0,61,7056189,61,15,01:48.1,168.7,1
298,32,5,1,23,5,10,0,61,7063206,14,12,01:47.3,169.943,1
299,32,9,2,4,4,11,0,61,7064279,14,6,01:46.9,170.639,1
300,32,7,5,14,17,12,0,61,7065736,29,14,01:47.8,169.181,1
301,32,13,6,2,1,13,0,61,7071474,13,2,01:45.8,172.482,1
302,32,21,10,21,20,14,0,61,7079875,28,16,01:49.1,167.195,1
309,33,4,4,5,4,1,10,67,5421892,41,3,01:19.1,207.668,1
310,33,9,2,4,6,2,8,67,5427175,16,7,01:19.3,207.168,1
311,33,8,6,1,2,3,6,67,5428292,66,2,01:19.0,207.947,1
312,33,12,4,6,12,4,5,67,5442462,54,4,01:19.2,207.411,1
313,33,15,7,11,7,5,4,67,5445659,18,9,01:19.5,206.564,1
314,33,20,5,15,9,6,3,67,5461099,21,12,01:19.6,206.322,1
315,33,13,6,2,5,7,2,67,5468050,55,1,01:18.4,209.456,1
316,33,17,9,10,13,8,1,67,5472703,30,13,01:19.8,205.798,1
317,33,2,2,3,16,9,0,67,5476012,67,8,01:19.5,206.727,1
318,33,7,5,14,10,10,0,67,5480977,49,6,01:19.3,207.246,1
319,33,3,3,7,15,11,0,67,5483988,66,10,01:19.5,206.545,1
320,33,1,1,22,1,12,0,67,5500792,65,11,01:19.6,206.47,1
329,34,1,1,22,1,1,10,56,5517403,13,1,01:36.3,203.722,1
330,34,13,6,2,3,2,8,56,5532328,36,4,01:36.6,203.161,1
331,34,8,6,1,2,3,6,56,5533848,14,2,01:36.5,203.389,1
332,34,4,4,5,4,4,5,56,5535773,56,5,01:36.7,203.018,1
333,34,2,2,3,9,5,4,56,5546326,56,3,01:36.5,203.357,1
334,34,9,2,4,11,6,3,56,5550622,56,7,01:36.9,202.61,1
335,34,10,7,12,12,7,2,56,5559125,56,6,01:36.7,202.876,1
336,34,12,4,6,10,8,1,56,5574048,56,8,01:37.0,202.313,1
337,34,20,5,15,6,9,0,56,5581742,55,9,01:37.2,201.863,1
338,34,14,9,9,15,10,0,56,5592245,27,14,01:37.8,200.746,1
339,34,22,11,17,13,11,0,56,5602464,56,16,01:37.8,200.558,1
340,34,6,3,8,17,12,0,56,5608250,54,17,01:38.0,200.202,1
341,34,7,5,14,8,13,0,56,5608860,36,12,01:37.5,201.366,1
342,34,17,9,10,16,14,0,56,5609825,10,13,01:37.7,200.896,1
349,35,13,6,2,1,1,10,71,5651435,36,1,01:13.7,210.377,1
350,35,4,4,5,6,2,8,71,5664733,39,8,01:14.2,208.98,1
351,35,8,6,1,3,3,6,71,5667670,59,3,01:14.1,209.296,1
352,35,20,5,15,7,4,5,71,5689446,25,7,01:14.2,209.022,1
353,35,1,1,22,4,5,4,71,5690342,31,4,01:14.2,209.177,1
354,35,10,7,12,10,6,3,71,5695803,32,2,01:14.1,209.465,1
355,35,5,1,23,5,7,2,71,5706509,36,6,01:14.2,209.042,1
356,35,15,7,11,2,8,1,71,5719868,40,5,01:14.2,209.155,1
357,35,17,9,10,12,9,0,71,5731101,40,14,01:15.0,206.741,1
369,36,8,6,6,1,1,10,58,5128770,41,1,01:25.2,223.978,1
370,36,4,1,1,2,2,8,58,5136012,20,2,01:26.3,221.178,1
371,36,1,1,2,4,3,6,58,5147365,20,3,01:26.4,221.083,1
372,36,2,2,9,3,4,5,58,5167533,37,6,01:26.7,220.137,1
373,36,21,4,3,6,5,4,58,5195239,18,7,01:26.9,219.707,1
374,36,13,6,5,22,6,3,58,5195575,28,8,01:27.0,219.323,1
391,37,4,1,1,2,1,10,56,5534930,42,2,01:36.9,206.014,1
392,37,1,1,2,4,2,8,56,5552487,22,1,01:36.7,206.355,1
393,37,8,6,6,3,3,6,56,5553269,40,4,01:37.2,205.237,1
394,37,2,2,9,5,4,5,56,5568707,55,5,01:37.4,204.838,1
395,37,13,6,5,1,5,4,56,5571635,42,3,01:37.2,205.298,1
396,37,21,4,3,12,6,3,56,5600568,44,9,01:37.9,203.872,1
397,37,15,7,12,8,7,2,56,5605062,40,10,01:38.0,203.587,1
398,37,5,4,4,11,8,1,56,5606945,41,7,01:37.8,204.015,1
399,37,25,3,17,19,9,0,56,5624854,19,8,01:37.9,203.903,1
400,37,17,9,15,10,10,0,56,5628486,55,14,01:38.5,202.504,1
413,38,13,6,5,1,1,10,57,5607515,42,1,01:34.1,207.12,1
414,38,1,1,2,2,2,8,57,5609875,18,2,01:34.3,206.674,1
415,38,8,6,6,3,3,6,57,5618354,39,3,01:34.4,206.483,1
416,38,2,2,9,5,4,5,57,5621346,38,5,01:34.5,206.236,1
417,38,4,1,1,4,5,4,57,5621941,46,4,01:34.4,206.346,1
418,38,9,2,10,6,6,3,57,5653044,46,6,01:34.8,205.477,1
419,38,15,7,12,9,7,2,57,5688886,40,7,01:35.2,204.756,1
420,38,21,4,3,7,8,1,57,5689216,51,8,01:35.2,204.655,1
421,38,5,4,4,12,9,0,57,5696926,27,10,01:35.5,204.065,1
422,38,3,3,16,10,10,0,57,5697431,51,11,01:35.6,203.893,1
435,39,13,6,5,1,1,10,65,5496230,14,1,01:22.7,202.685,1
436,39,1,1,2,4,2,8,65,5503020,20,2,01:22.9,202.205,1
437,39,4,1,1,2,3,6,65,5513686,17,3,01:23.0,201.986,1
438,39,9,2,10,5,4,5,65,5527845,20,5,01:23.1,201.59,1
439,39,14,9,14,9,5,4,65,5554561,18,8,01:23.5,200.636,1
440,39,3,3,16,11,6,3,65,5555768,60,10,01:23.7,200.231,1
441,39,5,4,4,8,7,2,65,5558358,32,4,01:23.0,201.952,1
457,40,4,1,1,1,1,10,78,6029329,44,1,01:15.3,159.715,1
458,40,1,1,2,2,2,8,78,6033424,28,2,01:15.4,159.528,1
459,40,13,6,5,3,3,6,78,6098443,47,4,01:16.2,157.83,1
479,41,1,1,2,1,1,10,70,6251292,37,2,01:16.5,205.239,1
480,41,2,2,9,3,2,8,70,6255635,19,3,01:16.7,204.699,1
481,41,25,3,17,19,3,6,70,6256617,67,11,01:17.9,201.413,1
482,41,5,4,4,22,4,5,70,6258021,67,13,01:18.4,200.331,1
483,41,8,6,6,4,5,4,70,6264299,21,5,01:16.9,204.259,1
484,41,11,8,22,11,6,3,70,6267990,47,12,01:18.0,201.186,1
485,41,4,1,1,2,7,2,70,6273228,46,1,01:16.4,205.58,1
486,41,23,7,11,18,8,1,70,6274180,38,10,01:17.9,201.509,1
487,41,17,9,15,6,9,0,70,6274252,47,9,01:17.6,202.267,1
488,41,3,3,16,7,10,0,70,6275276,42,6,01:17.2,203.478,1
489,41,19,8,23,17,11,0,70,6275610,36,15,01:18.8,199.284,1
490,41,22,11,8,13,12,0,70,6281731,62,14,01:18.5,199.885,1
501,42,1,1,2,1,1,10,73,5469965,20,2,01:13.2,206.101,1
502,42,4,1,1,2,2,8,73,5471465,21,3,01:13.3,206.003,1
503,42,13,6,5,3,3,6,73,5482765,50,4,01:13.4,205.658,1
504,42,8,6,6,4,4,5,73,5485365,49,1,01:13.1,206.397,1
505,42,5,4,4,6,5,4,73,5511365,67,7,01:14.0,203.94,1
506,42,15,7,12,8,6,3,73,5536665,30,10,01:14.0,203.891,1
507,42,17,9,15,9,7,2,73,5537265,57,8,01:14.0,203.924,1
508,42,20,2,10,7,8,1,73,5537665,53,6,01:13.9,204.316,1
523,43,8,6,6,3,1,10,70,5454200,20,2,01:16.2,208.374,1
524,43,13,6,5,1,2,8,70,5456614,42,1,01:16.1,208.67,1
525,43,1,1,2,2,3,6,70,5486353,39,4,01:16.6,207.34,1
526,43,9,2,10,4,4,5,70,5495927,44,10,01:17.2,205.819,1
527,43,2,2,9,7,5,4,70,5503001,70,7,01:16.9,206.563,1
528,43,21,4,3,5,6,3,70,5506140,70,5,01:16.7,207.027,1
529,43,4,1,1,10,7,2,70,5510716,36,3,01:16.5,207.59,1
530,43,18,11,7,12,8,1,70,5513085,70,6,01:16.8,206.846,1
531,43,3,3,16,9,9,0,70,5522705,69,9,01:17.0,206.199,1
545,44,8,6,6,2,1,10,59,4903074,17,1,01:20.6,229.514,1
546,44,4,1,1,3,2,8,59,4905533,35,3,01:21.1,228.159,1
547,44,1,1,2,1,3,6,59,4942447,11,4,01:21.7,226.6,1
548,44,9,2,10,5,4,5,59,4956393,14,6,01:22.1,225.413,1
549,44,13,6,5,4,5,4,59,4957137,17,2,01:20.9,228.89,1
550,44,2,2,9,9,6,3,59,4959410,17,5,01:22.0,225.727,1
567,45,4,1,1,2,1,10,60,7586358,35,2,01:33.2,198.783,1
568,45,13,6,5,3,2,8,60,7594513,34,1,01:32.9,199.592,1
569,45,17,9,15,6,3,6,60,7652032,29,8,01:34.4,196.22,1
570,45,25,3,17,12,4,5,60,7652295,33,5,01:34.2,196.665,1
571,45,14,9,14,20,5,4,60,7660014,48,6,01:34.3,196.496,1
572,45,2,2,9,4,6,3,60,7666656,49,7,01:34.4,196.417,1
573,45,9,2,10,5,7,2,60,7668773,49,9,01:34.5,196.216,1
589,46,1,1,2,1,1,10,70,5752991,13,2,01:20.2,196.724,1
590,46,8,6,6,3,2,8,70,5753706,70,1,01:20.0,197.029,1
591,46,2,2,9,2,3,6,70,5796120,16,5,01:20.6,195.721,1
592,46,4,1,1,6,4,5,70,5797849,49,3,01:20.3,196.349,1
593,46,9,2,10,7,5,4,70,5800607,40,4,01:20.4,196.117,1
594,46,23,7,11,5,6,3,70,5803660,69,9,01:21.0,194.804,1
595,46,3,3,16,4,7,2,70,5812130,68,6,01:20.7,195.502,1
596,46,5,4,4,11,8,1,70,5821095,69,8,01:20.9,194.867,1
597,46,17,9,15,9,9,0,70,5829322,63,7,01:20.9,194.915,1
611,47,13,6,5,1,1,10,58,5202161,18,2,01:27.9,218.566,1
612,47,8,6,6,3,2,8,58,5204436,57,1,01:27.3,220.136,1
613,47,4,1,1,4,3,6,58,5228342,39,4,01:28.1,218.199,1
614,47,2,2,9,6,4,5,58,5241835,39,5,01:28.3,217.583,1
615,47,1,1,2,2,5,4,58,5247246,17,3,01:28.0,218.464,1
616,47,5,4,4,7,6,3,58,5248330,20,7,01:28.6,216.886,1
617,47,3,3,16,8,7,2,58,5257939,37,6,01:28.5,217.05,1
618,47,9,2,10,5,8,1,58,5258868,11,11,01:28.9,216.118,1
619,47,21,4,3,10,9,0,58,5261652,56,9,01:28.8,216.422,1
620,47,14,9,14,13,10,0,58,5273170,54,13,01:29.1,215.754,1
621,47,25,3,17,14,11,0,58,5281789,55,8,01:28.7,216.559,1
633,48,4,1,1,1,1,10,53,4717806,15,1,01:22.9,251.653,1
634,48,1,1,2,2,2,8,53,4723868,17,2,01:22.9,251.456,1
635,48,8,6,6,5,3,6,53,4745131,21,3,01:23.4,250.147,1
636,48,2,2,9,4,4,5,53,4774368,19,4,01:23.7,249.217,1
637,48,9,2,10,6,5,4,53,4778364,22,5,01:23.9,248.543,1
638,48,3,3,16,8,6,3,53,4783616,52,8,01:24.5,246.884,1
639,48,5,4,4,7,7,2,53,4784557,53,7,01:24.2,247.605,1
640,48,18,11,7,10,8,1,53,4779974,32,9,01:24.5,246.708,1
641,48,17,9,15,11,9,0,53,4783685,46,13,01:24.8,245.859,1
642,48,22,11,8,12,10,0,53,4784764,52,12,01:24.8,246.024,1
643,48,15,7,12,9,11,0,53,4785542,49,10,01:24.6,246.446,1
655,49,8,6,6,1,1,10,44,4839066,12,2,01:48.1,233.261,1
656,49,13,6,5,2,2,8,44,4843761,34,1,01:48.0,233.388,1
657,49,4,1,1,3,3,6,44,4853409,44,3,01:48.2,233.073,1
658,49,1,1,2,4,4,5,44,4862681,41,4,01:48.2,233.002,1
659,49,2,2,9,6,5,4,44,4890945,33,5,01:48.7,232.042,1
660,49,3,3,16,5,6,3,44,4915942,29,9,01:49.8,229.704,1
661,49,17,9,15,7,7,2,44,4919705,12,11,01:50.0,229.119,1
662,49,5,4,4,9,8,1,44,4924172,21,8,01:49.6,230.058,1
663,49,9,2,10,14,9,0,44,4924727,32,6,01:48.9,231.549,1
664,49,23,7,11,10,10,0,44,4927640,43,10,01:50.0,229.175,1
665,49,15,7,12,8,11,0,44,4942719,43,7,01:49.0,231.345,1
677,50,1,1,2,1,1,10,67,7234579,27,1,01:28.2,186.259,1
678,50,5,4,4,11,2,8,67,7242956,34,9,01:29.7,183.222,1
679,50,8,6,6,3,3,6,67,7244057,29,8,01:29.6,183.295,1
680,50,14,9,14,12,4,5,67,7254876,56,11,01:30.1,182.345,1
681,50,21,4,3,10,5,4,67,7273443,33,12,01:30.4,181.738,1
682,50,13,6,5,4,6,3,67,7283621,32,7,01:29.6,183.359,1
683,50,9,2,10,9,7,2,67,7283864,32,4,01:29.0,184.527,1
684,50,16,12,20,20,8,1,67,7294708,54,18,01:31.9,178.763,1
685,50,24,5,18,14,9,0,67,7315201,35,13,01:30.7,181.205,1
686,50,22,11,8,17,10,0,67,7322921,57,15,01:31.1,180.395,1
699,51,8,6,6,2,1,10,56,5878395,52,3,01:38.3,199.66,1
700,51,4,1,1,4,2,8,56,5888201,54,2,01:38.0,200.259,1
701,51,13,6,5,3,3,6,56,5891286,56,1,01:37.5,201.362,1
702,51,20,5,19,17,4,5,56,5931904,52,13,01:39.9,196.452,1
703,51,18,11,7,10,5,4,56,5947061,39,5,01:38.9,198.392,1
704,51,24,5,18,11,6,3,56,5952068,53,11,01:39.7,196.917,1
705,51,2,2,9,8,7,2,56,5952619,55,7,01:39.3,197.569,1
706,51,14,9,14,5,8,1,56,5959145,55,10,01:39.6,196.945,1
707,51,5,4,4,13,9,0,56,5959581,52,8,01:39.3,197.557,1
708,51,17,9,15,7,10,0,56,5963080,55,9,01:39.4,197.478,1
709,51,21,4,3,18,11,0,56,5965078,39,4,01:38.9,198.418,1
721,52,8,6,6,3,1,10,71,5295270,66,1,01:12.4,214.126,1
722,52,13,6,5,1,2,8,71,5296763,71,3,01:12.6,213.716,1
723,52,4,1,1,4,3,6,71,5352289,59,6,01:13.2,212.062,1
724,52,3,3,16,10,4,5,71,5358118,56,7,01:13.2,212.036,1
725,52,9,2,10,7,5,4,71,5366227,61,4,01:12.7,213.416,1
726,52,2,2,9,6,6,3,71,5366587,53,10,01:13.5,211.19,1
743,53,4,4,1,4,1,10,57,5386205,21,3,01:32.5,210.551,1
744,53,30,6,5,1,2,8,57,5387451,38,2,01:32.5,210.576,1
745,53,8,1,3,22,3,6,57,5405565,29,8,01:32.9,209.803,1
746,53,18,11,12,3,4,5,57,5406197,39,5,01:32.7,210.109,1
747,53,31,1,4,5,5,4,57,5423253,21,7,01:32.8,210.013,1
748,53,17,3,9,7,6,3,57,5428137,25,4,01:32.7,210.265,1
749,53,3,3,10,12,7,2,57,5449248,42,1,01:32.4,210.838,1
750,53,32,9,15,8,8,1,57,5452976,40,10,01:33.2,209.02,1
751,53,13,6,6,2,9,0,57,5456112,28,6,01:32.7,210.086,1
752,53,14,9,14,13,10,0,57,5461746,26,11,01:33.4,208.653,1
753,53,24,5,20,15,11,0,57,5472202,26,12,01:33.5,208.421,1
765,54,21,4,2,1,1,10,56,5440529,16,2,01:35.3,209.402,1
766,54,4,4,1,7,2,8,56,5445114,45,1,01:34.8,210.487,1
767,54,18,11,12,2,3,6,56,5450160,35,4,01:35.6,208.723,1
768,54,31,1,4,5,4,5,56,5479880,39,3,01:35.6,208.806,1
769,54,13,6,6,21,5,4,56,5483783,51,8,01:36.0,207.962,1
770,54,30,6,5,14,6,3,56,5484383,44,5,01:35.6,208.629,1
771,54,35,2,17,10,7,2,56,5520990,43,9,01:36.0,207.858,1
772,54,23,7,7,22,8,1,56,5521817,34,6,01:35.7,208.544,1
787,55,4,4,1,3,1,10,57,5667870,49,2,01:26.2,221.499,1
788,55,8,1,3,4,2,8,57,5669670,57,1,01:26.0,221.869,1
789,55,23,7,7,6,3,6,57,5692670,45,10,01:27.8,217.41,1
790,55,2,2,16,8,4,5,57,5698870,49,7,01:27.7,217.683,1
