,GDP (current US$)-min,Export to China All Products Export-mean,Export to United States All Products Export-mean,Export to Japan All Products Export-mean,World Export Raw materials Export-mean,Ores and Metals Export-mean,Ores and Metals Import-mean
90s,0.2177004418,0.0088387377,0.0828827226,0.043693220000000005,0.025977771400000006,0.0185627041,0.043281400000000005
00s,0.40669479290000005,0.1243689764,0.6141188341999999,0.2960578927,0.21860154649999997,0.19921075500000002,0.2600413803
10s,0.8763947483999999,0.7363375661000001,0.8783586171,0.6949311145999999,0.8064129475999999,0.7815435993000001,0.7056669979000001
