item_old,item_new
8938,0
8947,1
8956,2
8957,3
8958,4
8961,5
8964,6
8965,7
8972,8
8976,9
8977,10
8982,11
8988,12
8989,13
8990,14
8995,15
8997,16
8998,17
9032,18
9039,19
9056,20
9060,21
9062,22
9063,23
9064,24
9065,25
9066,26
9068,27
9069,28
9070,29
9071,30
9073,31
9074,32
9076,33
9077,34
9078,35
9079,36
9080,37
9081,38
9082,39
9083,40
9084,41
9085,42
9087,43
9088,44
9090,45
9091,46
9092,47
9093,48
9094,49
9097,50
9098,51
9100,52
9107,53
9113,54
9114,55
9116,56
9117,57
9119,58
9120,59
9122,60
9125,61
9126,62
9127,63
9130,64
9131,65
9133,66
9134,67
9135,68
9136,69
9138,70
9139,71
9140,72
9141,73
9150,74
9152,75
9153,76
9157,77
9161,78
9169,79
9175,80
9176,81
9181,82
9183,83
9184,84
9185,85
9186,86
9189,87
9191,88
9193,89
9194,90
9195,91
9196,92
9197,93
9208,94
9210,95
9211,96
9212,97
9213,98
9216,99
9218,100
9220,101
9221,102
9222,103
9223,104
9224,105
9225,106
9226,107
9227,108
9228,109
9229,110
9230,111
9231,112
9232,113
9233,114
9234,115
9235,116
9236,117
9237,118
9238,119
9239,120
9240,121
9241,122
9242,123
9243,124
9244,125
9245,126
9246,127
9247,128
9248,129
9249,130
9251,131
9252,132
9253,133
9254,134
9256,135
9257,136
9258,137
9259,138
9260,139
9261,140
9262,141
9263,142
9265,143
9266,144
9267,145
9271,146
9281,147
9282,148
9287,149
9289,150
9290,151
9294,152
9296,153
9298,154
9299,155
9302,156
9304,157
9305,158
9306,159
9308,160
9310,161
9312,162
9313,163
9314,164
9316,165
9318,166
9319,167
9321,168
9323,169
9326,170
9327,171
9328,172
9332,173
9333,174
9335,175
9337,176
9338,177
9339,178
9340,179
9346,180
9347,181
9352,182
9354,183
9355,184
9356,185
9357,186
9358,187
9360,188
9361,189
9362,190
9363,191
9365,192
9370,193
9371,194
9375,195
9376,196
9378,197
9379,198
9380,199
9382,200
9384,201
9385,202
9386,203
9387,204
9388,205
9389,206
9394,207
9395,208
9407,209
9410,210
9411,211
9412,212
9416,213
9418,214
9419,215
9421,216
9422,217
9423,218
9426,219
9427,220
9428,221
