,iid_target,iid_neighbors
404,3438,3522
405,3438,6160
406,3438,10378
407,3438,29461
408,3438,40958
409,3479,3982
410,3481,3898
411,3483,3975
412,3483,14956
413,3483,7209
414,3483,7077
415,3483,19859
416,3483,33115
417,3483,34213
418,3483,35579
419,3483,38235
420,3483,39597
421,3487,44
422,3487,15003
423,3487,39641
424,3487,24313
425,3487,33119
426,3487,39603
427,3487,52584
428,3487,37570
429,3487,39116
430,3487,39769
431,3487,51031
432,3496,36154
433,3523,10357
434,3525,28038
435,3537,3544
436,1434,7553
437,13825,51382
438,35723,21733
439,35723,23408
440,4097,6697
441,4097,433
442,4097,51391
443,45452,40922
444,13332,32268
445,28708,26282
446,19065,4497
447,19065,39197
448,23370,4754
449,23370,13560
450,23370,8432
451,23370,32415
452,23370,51930
453,23370,23955
454,23370,34337
455,31994,41826
456,43,37563
457,43,4608
458,43,10111
459,43,15008
460,43,23972
461,43,27250
462,43,2483
463,43,1021
464,43,39605
465,43,15002
466,43,10188
467,43,4314
468,43,39606
469,43,20083
470,43,39604
471,43,35953
472,43,32939
473,43,11826
474,43,5095
475,43,5341
476,43,7520
477,43,2485
478,43,19022
479,43,19153
480,43,20084
481,43,2482
482,43,2484
483,43,39608
484,43,21192
485,43,21196
486,43,26433
487,43,24311
488,43,43739
489,43,15003
490,43,28791
491,43,23970
492,43,23971
493,43,23973
494,43,24312
495,43,33116
496,43,18112
497,43,26856
498,43,27360
499,43,15012
500,43,32630
501,43,39614
502,43,37705
503,43,32940
504,43,33059
505,43,38058
506,43,39603
507,43,39618
508,43,39601
509,43,39617
510,43,46574
511,43,36249
512,43,39616
513,43,36803
514,43,39609
515,43,39602
516,6198,25047
517,3246,3738
518,8590,8591
519,8590,39538
520,2217,7834
521,2217,23663
522,9284,3785
523,9284,9739
524,9284,9283
525,9284,30278
526,6147,6150
527,14642,7763
528,14642,33184
529,14642,38216
530,14642,31384
531,16755,13553
532,3550,343
533,3551,1525
534,3551,15825
535,360,30926
536,360,7573
537,360,8201
538,3552,4702
539,3554,3942
540,3554,1361
541,3554,27448
542,3555,981
543,3555,2286
544,3555,3577
545,3555,426
546,3555,45054
547,3556,4063
548,981,3577
549,981,426
550,981,898
551,3557,401
552,3557,6255
553,3557,9158
554,3557,7136
555,3557,8902
556,3557,8897
557,3557,7196
558,3557,8896
559,3557,9268
560,3557,13605
561,3557,20261
562,3557,39394
563,3557,13591
564,3557,30788
565,3557,27926
566,3557,28709
567,3557,30786
568,3557,32361
569,3557,13594
570,3557,13616
571,3557,13603
572,3557,13606
573,3558,20750
574,3558,14722
575,3559,8183
576,3559,9406
577,3559,14743
578,3559,23627
579,3559,23626
580,3559,27845
581,3559,29076
582,3559,44377
583,3559,35969
584,3560,2508
585,3562,23611
586,3562,42338
587,3563,29291
588,3564,598
589,3565,35298
590,3566,22472
591,3566,9014
592,3938,49922
593,33529,22848
594,33529,25384
595,33529,25383
596,33529,25771
597,33529,33530
598,33529,33519
599,42,52993
600,2907,1071
601,3802,25458
602,3802,3593
603,3802,9435
604,3802,24231
605,3802,30484
606,3802,35784
607,969,1163
608,969,195
609,969,52828
610,969,19991
611,6697,433
612,6697,51391
613,36,13398
614,36,35773
615,5738,8625
616,5738,43443
617,7518,15114
618,3879,14013
619,11852,3880
620,10206,7686
621,10206,20702
622,9923,22005
623,26839,4095
624,13510,13516
625,13510,717
626,13510,19507
627,13510,24539
628,13510,1725
629,14037,5700
630,2286,45054
631,2410,2409
632,2410,9407
633,2410,9412
634,2410,11807
635,2410,4800
636,2410,2406
637,2410,5091
638,2410,9887
639,2410,2398
640,2410,23954
641,47416,29396
642,47416,49160
643,47416,45715
644,24446,12347
645,13398,35773
646,3961,2079
647,3961,35393
648,3961,9266
649,431,49491
650,9747,1374
651,8937,6338
652,3486,28789
653,3486,10109
654,3486,14987
655,8977,18803
656,239,787
657,239,3354
658,239,41509
659,16161,9799
660,4899,6839
661,7233,7234
662,2809,4879
663,52646,40775
664,6126,18740
665,37685,8763
666,5690,12286
667,5690,14377
668,16020,2972
669,16020,16060
670,16020,11307
671,16020,4373
672,16020,20604
673,7639,16235
674,15987,20214
675,7476,23623
676,48187,36219
677,3316,38447
678,28124,48399
679,28997,29225
680,35463,10866
681,35463,14173
682,35463,29048
683,35463,35462
684,14875,5077
685,14875,18105
686,14875,23202
687,39620,39631
688,39620,27364
689,39620,1021
690,39620,15013
691,39620,39605
692,39620,35955
693,39620,32941
694,39620,10189
695,39620,10958
696,39620,15000
697,39620,39624
698,39620,25301
699,39620,19439
700,39620,18480
701,39620,18479
702,39620,19023
703,39620,20088
704,39620,20087
705,39620,20086
706,39620,2484
707,39620,21197
708,39620,21626
709,39620,22115
710,39620,22240
711,39620,24311
712,39620,39625
713,39620,23971
714,39620,25884
715,39620,27369
716,39620,27367
717,39620,27366
718,39620,27365
719,39620,27360
720,39620,15012
721,39620,27370
722,39620,27368
723,39620,28338
724,39620,2488
725,39620,39634
726,39620,15015
727,39620,32940
728,39620,33118
729,39620,39635
730,39620,37568
731,39620,39636
732,39620,39640
733,39620,39628
734,39620,39601
735,39620,39047
736,39620,35954
737,39620,36803
738,39620,37567
739,39620,38239
740,39620,15017
741,39620,39609
742,39620,39626
743,39620,39627
744,39620,39630
745,39620,51989
746,5611,6075
747,5611,8754
748,5614,47122
749,45159,31409
750,3793,15063
751,3793,529
752,3793,8678
753,3793,5253
754,3793,11397
755,19571,7811
756,19571,46810
757,1139,35297
758,22032,35465
759,5267,27970
760,3814,34584
761,3814,11063
762,3814,16904
763,48556,13811
764,8519,9555
765,3576,8923
766,3576,2304
767,3570,19248
768,3583,48425
769,3578,7890
770,3578,4943
771,3578,10343
772,3578,18876
773,3575,7618
774,3575,21582
775,3575,34959
776,3571,7917
777,768,42638
778,3573,21274
779,3581,6857
780,2143,4295
781,3577,426
782,3577,124
783,3577,38430
784,3572,25306
785,7740,10337
786,7740,482
787,7740,46868
788,7740,14489
789,3186,10482
790,3186,8775
791,3186,6087
792,3186,3184
793,3186,746
794,3186,452
795,3186,10248
796,3186,883
797,3186,10828
798,3186,3185
799,3647,7782
800,4281,8996
801,51143,49871
802,51143,44180
803,49871,44180
804,5730,3791
805,5730,454
806,5730,2229
807,5730,14314
808,5730,30079
809,5730,14319
810,31728,22073
811,11270,25331
812,1721,24713
813,20833,6750
814,21333,26362
815,2135,8626
816,2135,480
817,2135,8919
818,2135,14021
819,2135,2134
820,3690,3689
821,3652,3653
822,3652,3650
823,3671,1029
824,3635,2321
825,3635,38207
826,3636,52632
827,3598,1028
828,3598,6058
829,3598,15881
830,3598,318
831,3598,15850
832,3598,33992
833,3654,15348
834,3623,12085
835,3623,8810
836,3623,20288
837,3623,22689
838,3623,2105
839,3623,23095
840,3623,41311
841,3620,3946
842,3620,38210
843,3620,11012
844,3620,29462
845,3619,3945
846,3619,5495
847,3619,3522
848,3619,6160
849,3619,10378
850,3619,29461
851,3619,40958
852,3668,5495
853,3668,3521
854,3668,9347
855,3668,14485
856,3640,44588
857,3638,26681
858,3638,10041
859,3638,31427
860,3638,37532
861,3645,3644
862,1275,46708
863,790,15591
864,345,3216
865,345,26714
866,6307,6960
867,6307,342
868,6307,32905
869,6307,50566
870,1212,396
871,11423,27889
872,11423,12497
873,0,43260
874,436,31668
875,30927,4072
876,30927,14066
877,5605,43766
878,48602,43414
879,52021,7472
880,11055,49228
881,9654,44292
882,9654,51199
883,37563,4608
884,37563,10111
885,37563,15008
886,37563,23972
887,37563,27250
888,37563,2483
889,37563,1021
890,37563,39605
891,37563,15002
892,37563,10188
893,37563,4314
894,37563,39606
895,37563,20083
896,37563,39604
897,37563,35953
898,37563,32939
899,37563,11826
900,37563,5095
901,37563,5341
902,37563,7520
903,37563,2485
904,37563,19022
905,37563,19153
906,37563,20084
907,37563,2482
908,37563,2484
909,37563,39608
910,37563,21192
911,37563,21196
912,37563,26433
913,37563,24311
914,37563,43739
915,37563,15003
916,37563,28791
917,37563,23970
918,37563,23971
919,37563,23973
920,37563,24312
921,37563,33116
922,37563,18112
923,37563,26856
924,37563,27360
925,37563,15012
926,37563,32630
927,37563,39614
928,37563,37705
929,37563,32940
930,37563,33059
931,37563,38058
932,37563,39603
933,37563,39618
934,37563,39601
935,37563,39617
936,37563,46574
937,37563,36249
938,37563,39616
939,37563,36803
940,37563,38239
941,37563,39609
942,37563,39602
943,32479,44138
944,5124,2949
945,5124,22609
946,5576,7570
947,5576,13058
948,5576,13049
949,6282,7128
950,8144,23069
951,12238,11452
952,12238,28035
953,12238,52396
954,29977,43731
955,38602,17321
956,17814,22101
957,17814,13101
958,17814,4336
959,17814,4335
960,17814,19435
961,17814,53009
962,17814,17815
963,17814,10931
964,17814,38538
965,17814,17694
966,17814,13106
967,17814,26833
968,17814,6685
969,17814,8876
970,17814,357
971,17814,18614
972,17814,13108
973,17814,13115
974,17814,17820
975,17814,22102
976,17814,38540
977,17814,13104
978,17814,42758
979,17814,28601
980,17814,13112
981,17814,26834
982,17814,17818
983,17814,44122
984,17814,13109
985,17814,28600
986,17814,38539
987,17814,51513
988,17814,49713
989,17814,44715
990,17814,35355
991,17814,17816
992,17814,50436
993,17814,45555
994,17814,43553
995,17814,42759
996,17814,46798
997,17814,13105
998,17814,44906
999,17814,39763
1000,17814,3933
